FID,obj_id,Free_speed
0,263189,38.8 
1,263190,38.4 
2,263191,43.4 
3,263192,44.1 
4,263193,36.0 
5,263194,37.4 
6,263195,43.5 
7,263196,43.9 
8,263197,45.2 
9,263198,41.5 
10,263199,39.9 
11,263200,41.3 
12,263201,42.0 
13,263202,38.7 
14,263203,37.8 
15,263204,39.3 
16,263205,39.3 
17,263206,37.1 
18,263207,35.7 
19,263208,37.8 
20,263209,34.2 
21,263210,38.8 
22,263211,43.5 
23,263212,34.8 
24,263213,36.0 
25,263214,37.5 
26,263215,37.4 
27,263216,36.8 
28,263217,38.1 
29,263218,45.0 
30,263219,43.3 
31,263220,45.5 
32,263221,45.1 
33,263222,43.4 
34,263223,42.5 
35,263224,44.7 
36,263225,38.0 
37,263228,39.6 
38,263229,40.3 
39,263230,35.1 
40,263231,33.8 
41,263232,44.6 
42,263233,43.9 
43,263234,40.8 
44,263235,41.3 
45,263238,72.5 
46,263239,73.1 
47,263240,43.7 
48,263241,42.9 
49,263242,41.6 
50,263243,41.5 
51,263244,46.6 
52,263245,44.8 
53,263246,39.4 
54,263247,39.7 
55,263248,34.9 
56,263249,34.9 
57,263250,43.5 
58,263251,45.8 
59,263252,47.9 
60,263253,47.8 
61,263254,60.9 
62,263255,57.6 
63,263256,47.0 
64,263257,45.7 
65,263258,41.6 
66,263259,43.3 
67,263260,41.5 
68,263261,40.9 
69,263262,48.9 
70,263263,46.6 
71,263264,41.3 
72,263265,40.7 
73,263266,44.4 
74,263267,41.6 
75,263274,36.0 
76,263275,36.1 
77,263276,34.6 
78,263277,33.7 
79,263278,27.9 
80,263279,27.9 
81,263280,31.3 
82,263281,31.7 
83,263282,29.1 
84,263283,28.8 
85,263291,30.2 
86,263292,34.0 
87,263293,34.1 
88,263294,30.8 
89,263295,30.8 
90,263301,32.7 
91,263302,43.0 
92,263303,44.2 
93,263311,45.7 
94,263312,53.3 
95,263313,49.5 
96,263316,61.9 
97,263317,64.0 
98,263318,46.0 
99,263319,45.1 
100,263320,44.0 
101,263321,47.1 
102,263322,49.9 
103,263323,47.0 
104,263330,44.1 
105,263331,43.6 
106,263332,41.6 
107,263333,41.7 
108,263334,43.3 
109,263335,43.1 
110,263336,42.5 
111,263337,44.4 
112,263338,43.3 
113,263339,43.8 
114,263340,44.2 
115,263341,43.0 
116,263342,41.9 
117,263343,42.6 
118,263344,39.7 
119,263345,39.0 
120,263346,40.7 
121,263347,39.4 
122,263348,41.3 
123,263349,41.4 
124,263360,46.0 
125,263361,44.7 
126,263362,40.8 
127,263363,41.0 
128,263364,44.3 
129,263365,42.7 
130,263366,45.0 
131,263367,43.1 
132,263368,55.6 
133,263369,55.3 
134,263370,59.5 
135,263371,60.1 
136,263372,66.3 
137,263373,63.5 
138,263374,51.9 
139,263375,50.4 
140,263378,40.1 
141,263379,40.7 
142,263380,49.1 
143,263381,47.8 
144,263384,38.0 
145,263385,38.2 
146,263386,53.1 
147,263387,51.7 
148,263388,46.0 
149,263389,42.5 
150,263390,44.9 
151,263391,43.8 
152,263392,45.0 
153,263393,45.4 
154,263400,45.2 
155,263401,46.4 
156,263404,49.7 
157,263405,50.7 
158,263406,43.6 
